Product,Size,Month,Sales
ALF Boys Ink Trousers,100,2022-01-01,6.0
ALF Boys Ink Trousers,100,2022-02-01,7.0
ALF Boys Ink Trousers,100,2022-03-01,1.0
ALF Boys Ink Trousers,100,2022-04-01,0.0
ALF Boys Ink Trousers,100,2022-05-01,1.0
ALF Boys Ink Trousers,100,2022-06-01,2.0
ALF Boys Ink Trousers,100,2022-07-01,1.0
ALF Boys Ink Trousers,100,2022-08-01,1.0
ALF Boys Ink Trousers,100,2022-09-01,0.0
ALF Boys Ink Trousers,100,2022-10-01,1.0
ALF Boys Ink Trousers,100,2022-11-01,0.0
ALF Boys Ink Trousers,100,2022-12-01,2.0
ALF Boys Ink Trousers,100,2023-01-01,8.0
ALF Boys Ink Trousers,100,2023-02-01,6.0
ALF Boys Ink Trousers,100,2023-03-01,4.0
ALF Boys Ink Trousers,100,2023-04-01,1.0
ALF Boys Ink Trousers,100,2023-05-01,0.0
ALF Boys Ink Trousers,100,2023-06-01,2.0
ALF Boys Ink Trousers,100,2023-07-01,0.0
ALF Boys Ink Trousers,100,2023-08-01,2.0
ALF Boys Ink Trousers,100,2023-09-01,1.0
ALF Boys Ink Trousers,100,2023-10-01,0.0
ALF Boys Ink Trousers,100,2023-11-01,0.0
ALF Boys Ink Trousers,100,2023-12-01,0.0
ALF Boys Ink Trousers,100,2024-01-01,6.0
ALF Boys Ink Trousers,100,2024-02-01,12.0
ALF Boys Ink Trousers,100,2024-03-01,1.0
ALF Boys Ink Trousers,100,2024-04-01,0.0
ALF Boys Ink Trousers,100,2024-05-01,5.0
ALF Boys Ink Trousers,100,2024-06-01,2.0
ALF Boys Ink Trousers,100,2024-07-01,0.0
ALF Boys Ink Trousers,100,2024-08-01,2.0
ALF Boys Ink Trousers,100,2024-09-01,0.0
ALF Boys Ink Trousers,100,2024-10-01,2.0
ALF Boys Ink Trousers,100,2024-11-01,0.0
ALF Boys Ink Trousers,100,2024-12-01,0.0
ALF Boys Ink Trousers,100,2025-01-01,5.0
ALF Boys Ink Trousers,100,2025-02-01,7.0
ALF Boys Ink Trousers,100,2025-03-01,1.0
ALF Boys Ink Trousers,100,2025-04-01,3.0
ALF Boys Ink Trousers,100,2025-05-01,2.0
ALF Boys Ink Trousers,104,2022-01-01,5.0
ALF Boys Ink Trousers,104,2022-02-01,6.0
ALF Boys Ink Trousers,104,2022-03-01,0.0
ALF Boys Ink Trousers,104,2022-04-01,0.0
ALF Boys Ink Trousers,104,2022-05-01,0.0
ALF Boys Ink Trousers,104,2022-06-01,0.0
ALF Boys Ink Trousers,104,2022-07-01,2.0
ALF Boys Ink Trousers,104,2022-08-01,1.0
ALF Boys Ink Trousers,104,2022-09-01,2.0
ALF Boys Ink Trousers,104,2022-10-01,1.0
ALF Boys Ink Trousers,104,2022-11-01,0.0
ALF Boys Ink Trousers,104,2022-12-01,0.0
ALF Boys Ink Trousers,104,2023-01-01,11.0
